,year,semester,week,date,day,time_of_day,start_time,end_time,room_name,class_type,faculty,school,joint,status,degree,enrollment,class_duration,attendance,class_type_new,attendance_by_class
1,2017,T2,9,9/21/2017,thu,morning,9:00:00,10:00:00,Mathews Theatre A,Lecture,Faculty of Engineering,School of Civil & Env Eng,FALSE,Open,Undergraduate,452,1:00:00,95,class3,class1
2,2017,T2,3,8/9/2017,wed,morning,9:00:00,10:00:00,Mathews Theatre A,Lecture,Faculty of Science,Sch Mathematics & Statistics,FALSE,Open,Undergraduate,447,1:00:00,136,class4,class2
3,2017,T2,9,9/21/2017,thu,afternoon,13:00:00,14:00:00,Mathews Theatre A,Lecture,Faculty of Science,School of Chemistry,FALSE,Open,Undergraduate,419,1:00:00,93,class3,class1
4,2017,T2,3,8/8/2017,tue,morning,11:00:00,13:00:00,Mathews Theatre A,Lecture,Faculty of Science,Sch Mathematics & Statistics,FALSE,Open,Undergraduate,381,2:00:00,181,class4,class2
5,2017,T2,3,8/8/2017,tue,evening,16:00:00,18:00:00,Mathews Theatre A,Lecture,Faculty of Engineering,School of Civil & Env Eng,FALSE,Open,Undergraduate,459,2:00:00,182,class4,class2
6,2017,T2,10,10/5/2017,thu,afternoon,13:00:00,14:00:00,Mathews Theatre A,Lecture,Faculty of Science,School of Chemistry,FALSE,Open,Undergraduate,419,1:00:00,87,class3,class1
7,2017,T2,10,10/6/2017,fri,morning,9:00:00,10:00:00,Mathews Theatre A,Lecture,Faculty of Science,School of Chemistry,FALSE,Open,Undergraduate,419,1:00:00,57,class3,class1
8,2017,T2,9,9/19/2017,tue,evening,16:00:00,18:00:00,Mathews Theatre A,Lecture,Faculty of Engineering,School of Civil & Env Eng,FALSE,Open,Undergraduate,459,2:00:00,103,class4,class2
9,2017,T2,3,8/8/2017,tue,morning,9:00:00,11:00:00,Mathews Theatre A,Lecture,Faculty of Engineering,School of Civil & Env Eng,FALSE,Open,Undergraduate,452,2:00:00,59,class3,class1
10,2017,T2,5,8/23/2017,wed,evening,15:00:00,16:00:00,Mathews Theatre A,Lecture,Faculty of Science,School of Psychology,FALSE,On Hold,Undergraduate,385,1:00:00,89,class3,class1
11,2017,T2,4,8/17/2017,thu,evening,16:00:00,17:00:00,Mathews Theatre A,Lecture,Faculty of Science,School of Psychology,FALSE,On Hold,Undergraduate,385,1:00:00,73,class3,class1
12,2017,T2,5,8/23/2017,wed,morning,9:00:00,10:00:00,Mathews Theatre A,Lecture,Faculty of Science,Sch Mathematics & Statistics,FALSE,Open,Undergraduate,447,1:00:00,118,class4,class2
13,2017,T2,5,8/23/2017,wed,night,18:00:00,19:30:00,Mathews Theatre A,Lecture,UNSW Business School,School of Management,FALSE,Open,Postgraduate,62,1:30:00,54,class3,class1
14,2017,T2,3,8/9/2017,wed,evening,16:00:00,18:00:00,Mathews Theatre A,Lecture,UNSW Business School,School of Banking & Finance,FALSE,Open,Undergraduate,381,2:00:00,79,class3,class1
15,2017,T2,3,8/10/2017,thu,afternoon,13:00:00,14:00:00,Mathews Theatre A,Lecture,Faculty of Science,School of Chemistry,FALSE,Open,Undergraduate,419,1:00:00,163,class4,class2
16,2017,T2,3,8/10/2017,thu,afternoon,14:00:00,16:00:00,Mathews Theatre A,Lecture,Faculty of Arts&Social Science,School of Social Sciences,FALSE,Open,Undergraduate,354,2:00:00,176,class4,class2
17,2017,T2,12,10/18/2017,wed,evening,16:00:00,18:00:00,Mathews Theatre A,Lecture,UNSW Business School,School of Banking & Finance,FALSE,Open,Undergraduate,381,2:00:00,58,class3,class1
18,2017,T2,12,10/18/2017,wed,morning,9:00:00,10:00:00,Mathews Theatre A,Lecture,Faculty of Science,Sch Mathematics & Statistics,FALSE,Open,Undergraduate,447,1:00:00,48,class2,class1
19,2017,T2,5,8/23/2017,wed,evening,16:00:00,18:00:00,Mathews Theatre A,Lecture,UNSW Business School,School of Banking & Finance,FALSE,Open,Undergraduate,381,2:00:00,180,class4,class2
20,2017,T2,5,8/23/2017,wed,afternoon,13:00:00,14:00:00,Mathews Theatre A,Lecture,Faculty of Science,School of Psychology,FALSE,Open,Undergraduate,403,1:00:00,109,class4,class2
21,2017,T2,5,8/22/2017,tue,afternoon,13:00:00,15:00:00,Mathews Theatre A,Lecture,UNSW Business School,School of Accounting,FALSE,Open,Undergraduate,366,2:00:00,153,class4,class2
22,2017,T2,10,10/4/2017,wed,morning,9:00:00,10:00:00,Mathews Theatre A,Lecture,Faculty of Science,Sch Mathematics & Statistics,FALSE,Open,Undergraduate,447,1:00:00,70,class3,class1
23,2017,T2,10,10/4/2017,wed,afternoon,14:00:00,15:00:00,Mathews Theatre A,Lecture,Faculty of Engineering,School of Civil & Env Eng,FALSE,Open,Undergraduate,457,1:00:00,127,class4,class2
24,2017,T2,3,8/9/2017,wed,afternoon,12:00:00,13:00:00,Mathews Theatre A,Lecture,Faculty of Science,School of Chemistry,FALSE,Open,Undergraduate,386,1:00:00,132,class4,class2
25,2017,T2,5,8/21/2017,mon,night,18:00:00,19:30:00,Mathews Theatre A,Lecture,UNSW Business School,School of Management,FALSE,Open,Postgraduate,42,1:30:00,42,class2,class1
26,2017,T2,5,8/21/2017,mon,afternoon,14:00:00,15:00:00,Mathews Theatre A,Lecture,Faculty of Science,School of Psychology,FALSE,Open,Undergraduate,403,1:00:00,95,class3,class1
