week,day,time_of_day,class_type,faculty,school,joint,degree,enrollment,class_duration,class_type_new
8,2,2,0,2,16,0,2,452,1,3
2,4,2,0,5,8,0,2,447,1,4
8,2,0,0,5,15,0,2,419,1,3
2,3,2,0,5,8,0,2,381,2,4
2,3,1,0,2,16,0,2,459,2,4
9,2,0,0,5,15,0,2,419,1,3
9,0,2,0,5,15,0,2,419,1,3
8,3,1,0,2,16,0,2,459,2,4
2,3,2,0,2,16,0,2,452,2,3
4,4,1,0,5,28,0,2,385,1,3
3,2,1,0,5,28,0,2,385,1,3
4,4,2,0,5,8,0,2,447,1,4
4,4,3,0,6,22,0,0,62,1,3
2,4,1,0,6,12,0,2,381,2,3
2,2,0,0,5,15,0,2,419,1,4
2,2,0,0,0,29,0,2,354,2,4
11,4,1,0,6,12,0,2,381,2,3
11,4,2,0,5,8,0,2,447,1,2
4,4,1,0,6,12,0,2,381,2,4
4,4,0,0,5,28,0,2,403,1,4
4,3,0,0,6,11,0,2,366,2,4
9,4,2,0,5,8,0,2,447,1,3
9,4,0,0,2,16,0,2,457,1,4
2,4,0,0,5,15,0,2,386,1,4
4,1,3,0,6,22,0,0,42,1,2
4,1,0,0,5,28,0,2,403,1,3
4,3,1,0,2,16,0,2,459,2,4
4,3,2,0,2,16,0,2,452,2,4
12,1,0,0,2,17,0,2,424,2,4
9,4,2,0,2,16,0,2,409,2,4
2,4,0,0,2,16,0,2,457,1,4
2,4,2,0,2,16,0,2,409,2,4
6,1,2,0,2,16,0,2,457,2,4
9,0,0,0,5,15,0,2,386,1,3
8,2,0,0,5,8,0,2,447,1,3
11,1,0,0,5,28,0,2,403,1,3
10,1,2,0,2,16,0,2,457,2,3
3,1,2,0,5,15,0,2,419,1,4
4,4,0,0,5,15,0,2,386,1,4
1,2,0,0,0,29,0,2,354,2,4
1,2,2,0,2,16,0,2,409,1,4
3,2,2,0,5,28,0,2,271,1,3
8,3,0,0,6,11,0,2,366,2,4
1,2,1,0,5,28,0,2,385,1,3
5,0,0,0,5,15,0,2,386,1,3
7,2,2,0,5,28,0,2,271,1,3
7,2,1,0,5,28,0,2,385,1,2
2,3,0,0,6,11,0,2,366,2,4
5,2,2,0,5,28,0,2,271,1,3
2,2,2,0,2,16,0,2,452,1,5
2,4,1,0,5,28,0,2,385,1,4
1,2,2,0,2,16,0,2,452,1,5
9,2,2,0,2,16,0,2,409,1,3
3,2,0,0,5,8,0,2,447,1,4
10,1,1,0,2,17,0,0,320,1,3
