week,day,time_of_day,class_type,faculty,school,joint,status,degree,enrollment,class_duration
8,2,2,0,2,16,0,4,2,452,1
2,4,2,0,5,8,0,4,2,447,1
8,2,0,0,5,15,0,4,2,419,1
2,3,2,0,5,8,0,4,2,381,2
2,3,1,0,2,16,0,4,2,459,2
9,2,0,0,5,15,0,4,2,419,1
9,0,2,0,5,15,0,4,2,419,1
8,3,1,0,2,16,0,4,2,459,2
2,3,2,0,2,16,0,4,2,452,2
4,4,1,0,5,28,0,2,2,385,1
3,2,1,0,5,28,0,2,2,385,1
4,4,2,0,5,8,0,4,2,447,1
4,4,3,0,6,22,0,4,0,62,1
2,4,1,0,6,12,0,4,2,381,2
2,2,0,0,5,15,0,4,2,419,1
2,2,0,0,0,29,0,4,2,354,2
11,4,1,0,6,12,0,4,2,381,2
11,4,2,0,5,8,0,4,2,447,1
4,4,1,0,6,12,0,4,2,381,2
4,4,0,0,5,28,0,4,2,403,1
4,3,0,0,6,11,0,4,2,366,2
9,4,2,0,5,8,0,4,2,447,1
9,4,0,0,2,16,0,4,2,457,1
2,4,0,0,5,15,0,4,2,386,1
4,1,3,0,6,22,0,4,0,42,1
4,1,0,0,5,28,0,4,2,403,1
4,3,1,0,2,16,0,4,2,459,2
4,3,2,0,2,16,0,4,2,452,2
12,1,0,0,2,17,0,4,2,424,2
9,4,2,0,2,16,0,4,2,409,2
2,4,0,0,2,16,0,4,2,457,1
2,4,2,0,2,16,0,4,2,409,2
6,1,2,0,2,16,0,4,2,457,2
9,0,0,0,5,15,0,4,2,386,1
8,2,0,0,5,8,0,4,2,447,1
11,1,0,0,5,28,0,4,2,403,1
10,1,2,0,2,16,0,4,2,457,2
3,1,2,0,5,15,0,4,2,419,1
4,4,0,0,5,15,0,4,2,386,1
1,2,0,0,0,29,0,4,2,354,2
1,2,2,0,2,16,0,4,2,409,1
3,2,2,0,5,28,0,2,2,271,1
8,3,0,0,6,11,0,4,2,366,2
1,2,1,0,5,28,0,2,2,385,1
5,0,0,0,5,15,0,4,2,386,1
7,2,2,0,5,28,0,2,2,271,1
7,2,1,0,5,28,0,2,2,385,1
2,3,0,0,6,11,0,4,2,366,2
5,2,2,0,5,28,0,2,2,271,1
2,2,2,0,2,16,0,4,2,452,1
2,4,1,0,5,28,0,2,2,385,1
1,2,2,0,2,16,0,4,2,452,1
9,2,2,0,2,16,0,4,2,409,1
3,2,0,0,5,8,0,4,2,447,1
10,1,1,0,2,17,0,4,0,320,1
3,0,0,0,5,15,0,4,2,386,1
1,2,0,0,5,8,0,4,2,447,1
10,1,0,0,2,17,0,4,2,424,2
11,2,0,0,0,29,0,4,2,354,2
11,3,1,0,2,16,0,4,2,459,2
9,2,1,0,6,7,1,2,2,304,1
9,2,0,0,5,8,0,4,2,447,1
11,3,2,0,2,16,0,4,2,452,2
4,4,0,0,2,16,0,4,2,457,1
2,4,0,0,5,28,0,4,2,403,1
1,2,1,0,6,7,1,2,2,304,1
8,2,2,0,2,16,0,4,2,409,1
5,0,2,0,5,8,0,4,2,291,2
1,2,2,0,5,28,0,2,2,271,1
3,2,2,0,2,16,0,4,2,452,1
6,1,1,0,2,17,0,4,0,320,1
6,1,1,0,2,16,1,4,2,447,2
11,2,0,0,5,15,0,4,2,419,1
4,1,2,0,2,16,0,4,2,457,2
5,2,0,0,5,8,0,4,2,447,1
9,3,2,0,5,8,0,4,2,381,2
8,4,0,0,5,28,0,4,2,403,1
8,2,1,0,6,7,1,2,2,304,1
3,0,2,0,5,15,0,4,2,419,1
3,2,2,0,2,16,0,4,2,409,1
8,0,2,0,5,15,0,4,2,419,1
10,1,2,0,5,15,0,4,2,419,1
4,1,1,0,2,16,1,4,2,447,2
1,4,1,0,5,28,0,2,2,385,1
8,0,2,0,5,8,0,4,2,291,2
6,4,0,0,5,28,0,4,2,403,1
9,0,2,0,5,8,0,4,2,291,2
11,4,0,0,2,16,0,4,2,457,1
11,4,0,0,5,28,0,4,2,403,1
5,0,0,0,2,16,1,4,2,455,2
8,4,1,0,5,28,0,2,2,385,1
4,1,0,0,2,17,0,4,2,424,2
0,1,1,0,2,17,0,4,0,320,1
4,1,1,0,2,17,0,4,0,320,1
5,0,2,0,5,15,0,4,2,419,1
1,4,0,0,5,28,0,4,2,403,1
8,0,0,0,5,15,0,4,2,386,1
