,week,day,time_of_day,class_type,faculty,school,joint,status,degree,enrollment,class_duration
0,8,2,2,0,2,16,0,4,2,452,1
1,2,4,2,0,5,8,0,4,2,447,1
2,8,2,0,0,5,15,0,4,2,419,1
3,2,3,2,0,5,8,0,4,2,381,2
4,2,3,1,0,2,16,0,4,2,459,2
5,9,2,0,0,5,15,0,4,2,419,1
6,9,0,2,0,5,15,0,4,2,419,1
7,8,3,1,0,2,16,0,4,2,459,2
8,2,3,2,0,2,16,0,4,2,452,2
9,4,4,1,0,5,28,0,2,2,385,1
10,3,2,1,0,5,28,0,2,2,385,1
11,4,4,2,0,5,8,0,4,2,447,1
12,4,4,3,0,6,22,0,4,0,62,1
13,2,4,1,0,6,12,0,4,2,381,2
14,2,2,0,0,5,15,0,4,2,419,1
15,2,2,0,0,0,29,0,4,2,354,2
16,11,4,1,0,6,12,0,4,2,381,2
17,11,4,2,0,5,8,0,4,2,447,1
18,4,4,1,0,6,12,0,4,2,381,2
19,4,4,0,0,5,28,0,4,2,403,1
20,4,3,0,0,6,11,0,4,2,366,2
21,9,4,2,0,5,8,0,4,2,447,1
22,9,4,0,0,2,16,0,4,2,457,1
23,2,4,0,0,5,15,0,4,2,386,1
24,4,1,3,0,6,22,0,4,0,42,1
25,4,1,0,0,5,28,0,4,2,403,1
26,4,3,1,0,2,16,0,4,2,459,2
27,4,3,2,0,2,16,0,4,2,452,2
28,12,1,0,0,2,17,0,4,2,424,2
29,9,4,2,0,2,16,0,4,2,409,2
30,2,4,0,0,2,16,0,4,2,457,1
31,2,4,2,0,2,16,0,4,2,409,2
32,6,1,2,0,2,16,0,4,2,457,2
33,9,0,0,0,5,15,0,4,2,386,1
34,8,2,0,0,5,8,0,4,2,447,1
35,11,1,0,0,5,28,0,4,2,403,1
36,10,1,2,0,2,16,0,4,2,457,2
37,3,1,2,0,5,15,0,4,2,419,1
38,4,4,0,0,5,15,0,4,2,386,1
39,1,2,0,0,0,29,0,4,2,354,2
40,1,2,2,0,2,16,0,4,2,409,1
41,3,2,2,0,5,28,0,2,2,271,1
42,8,3,0,0,6,11,0,4,2,366,2
43,1,2,1,0,5,28,0,2,2,385,1
44,5,0,0,0,5,15,0,4,2,386,1
45,7,2,2,0,5,28,0,2,2,271,1
46,7,2,1,0,5,28,0,2,2,385,1
47,2,3,0,0,6,11,0,4,2,366,2
48,5,2,2,0,5,28,0,2,2,271,1
49,2,2,2,0,2,16,0,4,2,452,1
50,2,4,1,0,5,28,0,2,2,385,1
51,1,2,2,0,2,16,0,4,2,452,1
52,9,2,2,0,2,16,0,4,2,409,1
53,3,2,0,0,5,8,0,4,2,447,1
54,10,1,1,0,2,17,0,4,0,320,1
55,3,0,0,0,5,15,0,4,2,386,1
56,1,2,0,0,5,8,0,4,2,447,1
57,10,1,0,0,2,17,0,4,2,424,2
58,11,2,0,0,0,29,0,4,2,354,2
59,11,3,1,0,2,16,0,4,2,459,2
60,9,2,1,0,6,7,1,2,2,304,1
61,9,2,0,0,5,8,0,4,2,447,1
62,11,3,2,0,2,16,0,4,2,452,2
63,4,4,0,0,2,16,0,4,2,457,1
64,2,4,0,0,5,28,0,4,2,403,1
65,1,2,1,0,6,7,1,2,2,304,1
66,8,2,2,0,2,16,0,4,2,409,1
67,5,0,2,0,5,8,0,4,2,291,2
68,1,2,2,0,5,28,0,2,2,271,1
69,3,2,2,0,2,16,0,4,2,452,1
70,6,1,1,0,2,17,0,4,0,320,1
71,6,1,1,0,2,16,1,4,2,447,2
72,11,2,0,0,5,15,0,4,2,419,1
73,4,1,2,0,2,16,0,4,2,457,2
